iter	Passed	Remaining
0	165	165540
1	169	84749
2	174	58115
3	178	44541
4	183	36574
5	188	31254
6	191	27226
7	194	24119
8	196	21668
9	198	19673
10	205	18440
11	211	17410
12	213	16211
13	214	15133
14	216	14194
15	217	13358
16	219	12670
17	220	12014
18	221	11436
19	222	10923
20	224	10480
21	225	10035
22	227	9647
23	227	9269
24	228	8915
25	229	8592
26	230	8291
27	230	8013
28	231	7755
29	232	7513
30	233	7287
31	233	7074
32	234	6875
33	235	6692
34	236	6517
35	237	6365
36	238	6207
37	239	6059
38	240	5917
39	240	5781
40	241	5655
41	242	5532
42	243	5414
43	244	5303
44	244	5195
45	245	5091
46	246	4993
47	247	4899
48	247	4806
49	248	4717
50	248	4632
51	249	4553
52	250	4476
53	251	4406
54	253	4363
55	254	4297
56	255	4229
57	256	4163
58	257	4101
59	257	4040
60	258	3980
61	259	3923
62	260	3867
63	260	3813
64	261	3761
65	262	3710
66	263	3662
67	263	3618
68	264	3573
69	267	3548
70	268	3510
71	269	3467
72	269	3425
73	270	3385
74	271	3345
75	272	3307
76	272	3269
77	273	3232
78	274	3196
79	274	3161
80	275	3127
81	276	3094
82	276	3058
83	277	3026
84	278	2997
85	279	2969
86	280	2942
87	281	2916
88	282	2889
89	283	2862
90	283	2835
91	284	2808
92	285	2783
93	286	2757
94	286	2734
95	287	2710
96	288	2686
97	289	2662
98	290	2640
99	290	2617
100	291	2595
101	292	2573
102	293	2556
103	294	2538
104	295	2520
105	296	2499
106	297	2480
107	297	2460
108	298	2441
109	299	2423
110	300	2405
111	301	2387
112	302	2370
113	302	2353
114	303	2336
115	304	2319
116	305	2302
117	305	2285
118	306	2271
119	307	2257
120	308	2243
121	309	2230
122	310	2216
123	311	2201
124	312	2186
125	313	2173
126	313	2158
127	314	2144
128	315	2132
129	316	2119
130	317	2105
131	318	2092
132	318	2079
133	319	2066
134	320	2055
135	321	2044
136	322	2034
137	323	2023
138	324	2011
139	325	1999
140	326	1988
141	326	1975
142	327	1964
143	328	1953
144	329	1943
145	330	1932
146	331	1922
147	332	1911
148	332	1900
149	333	1890
150	334	1880
151	335	1870
152	336	1860
153	337	1852
154	338	1843
155	339	1834
156	340	1825
157	341	1817
158	341	1808
159	342	1799
160	343	1788
161	343	1779
162	344	1770
163	345	1761
164	346	1753
165	347	1746
166	348	1737
167	349	1729
168	350	1721
169	350	1712
170	351	1705
171	352	1698
172	353	1690
173	354	1682
174	355	1675
175	356	1667
176	356	1659
177	357	1651
178	358	1643
179	359	1636
180	360	1629
181	360	1621
182	361	1614
183	362	1606
184	363	1599
185	363	1592
186	364	1585
187	365	1578
188	366	1574
189	368	1570
190	369	1564
191	370	1558
192	371	1551
193	371	1545
194	373	1539
195	373	1533
196	374	1527
197	375	1522
198	377	1518
199	378	1514
200	379	1509
201	380	1503
202	382	1500
203	383	1495
204	384	1490
205	385	1485
206	386	1480
207	387	1476
208	388	1471
209	389	1466
210	392	1467
211	394	1465
212	395	1462
213	398	1462
214	399	1458
215	400	1454
216	401	1450
217	403	1445
218	404	1442
